AEther Searcher	乙太探寻客
Dakmor Plague	达克玛疫病
Dakmor Salvage	达克玛废船
Dakmor Scorpion	达克玛蝎子
Dakmor Sorceress	达克玛女术士
Dakra Mystic	达克拉秘教徒
Damia, Sage of Stone	石之贤者黛米雅
Damnable Pact	背德契约
Damnation	破灭
Dampen Thought	阻滞思考
Dampening Pulse	抑制鼓动
Damping Engine	滞阻机
Damping Field	滞阻力场
Damping Matrix	滞阻间质
Dance of Many	群魔之舞
Dance of Shadows	影身飞舞
Dance of the Dead	亡者之舞
Dance of the Skywise	穹慧龙舞
Dance with Devils	与魔共舞
Dancing Scimitar	飞舞的弯刀
Dandân	巨鱼丹丹
Dangerous (Armed/Dangerous)	危险 (武装/危险)
Dangerous Wager	危险赌注
Daraja Griffin	达拉杰狮鹫
Darba	达尔巴鸟
Daredevil Dragster	铁胆赛车
Daretti, Ingenious Iconoclast	妙手逆贼达雷迪
Daretti, Scrap Savant	拆解学究达雷迪
Darien, King of Kjeldor	奇亚多王达利安
Darigaaz's Attendant	达里迦的随从
Darigaaz's Caldera	达里迦的火山口
Darigaaz's Charm	达里迦的护符
Darigaaz, the Igniter	焚灭龙王达里迦
Daring Apprentice	大胆的学徒
Daring Demolition	大胆爆破
Daring Leap	放胆一跃
Daring Saboteur	大胆破坏者
Daring Skyjek	大胆空耶克
Daring Sleuth	大胆侦员
Daring Thief	大胆的窃贼
Dark Banishing	黯境放逐
Dark Betrayal	邪恶背叛
Dark Confidant	黑暗亲信
Dark Dabbling	暗法小试
Dark Deal	黑暗交易
Dark Depths	黑暗深渊
Dark Favor	黑暗眷顾
Dark Hatchling	黑暗幼雏
Dark Heart of the Wood	密林黯心
Dark Impostor	黑暗冒名客
Dark Intimations	黑暗预示
Dark Maze	黑暗迷宫
Dark Nourishment	黑暗滋养
Dark Offering	黑暗的献礼
Dark Petition	求诸黑暗
Dark Privilege	黑暗特权
Dark Prophecy	黑暗预言
Dark Revenant	黑暗复灵
Dark Ritual	黑暗祭礼
Dark Salvation	黑暗救援
Dark Sphere	闇黑法球
Dark Supplicant	黑暗祈愿僧
Dark Suspicions	邪疑
Dark Temper	极度暴怒
Dark Triumph	黯黑凯旋
Dark Tutelage	黑暗教导
Dark Withering	黯境枯萎
Darkblast	黑暗冲击波
Darkest Hour	极黯时刻
Darkheart Sliver	黯心裂片妖
Darkling Stalker	潜影魔
Darklit Gargoyle	墨曜石像鬼
Darkness	黑暗
Darkpact	黑暗契约
Darkslick Drake	暗光海龙兽
Darkslick Shores	暗光海滨
Darksteel Axe	玄铁斧
Darksteel Brute	玄铁兽雕像
Darksteel Citadel	玄铁殿堂
Darksteel Colossus	玄铁巨像
Darksteel Forge	玄铁锻冶炉
Darksteel Gargoyle	玄铁石像鬼
Darksteel Garrison	玄铁驻防
Darksteel Ingot	玄铁锭
Darksteel Juggernaut	玄铁攻城巨车
Darksteel Mutation	玄铁异变
Darksteel Myr	玄铁秘耳
Darksteel Pendant	玄铁垂饰
Darksteel Plate	玄铁护甲
Darksteel Reactor	玄铁反应炉
Darksteel Relic	玄铁遗宝
Darksteel Sentinel	玄铁哨兵
Darkthicket Wolf	暗丛狼
Darkwatch Elves	夜更妖精
Darkwater Catacombs	黑水陵墓
Darkwater Egg	黑水卵
Darting Merfolk	急冲人鱼
Daru Cavalier	靼鲁武士
Daru Encampment	靼鲁营地
Daru Healer	靼鲁治疗师
Daru Lancer	靼鲁枪骑兵
Daru Mender	靼鲁照护师
Daru Sanctifier	靼鲁净灵师
Daru Spiritualist	鞑鲁灵学师
Daru Stinger	靼鲁刺针手
Daru Warchief	鞑鲁战酋长
Dash Hopes	打碎希望
Daughter of Autumn	秋柳之女
Daunting Defender	威吓捍卫者
Dauntless Aven	不屈艾文
Dauntless Cathar	不屈护教军
Dauntless Dourbark	不屈韧皮树
Dauntless Escort	不屈卫士
Dauntless Onslaught	无畏猛攻
Dauntless River Marshal	无畏河流元帅
Dauthi Cutthroat	道西割喉者
Dauthi Embrace	道西之拥
Dauthi Ghoul	道西食尸鬼
Dauthi Horror	道西惊惧兽
Dauthi Jackal	道西豺狼
Dauthi Marauder	道西劫掠者
Dauthi Mercenary	道西佣兵
Dauthi Mindripper	道西绞灵兽
Dauthi Slayer	道西凶手
Dauthi Trapper	道西捕兽人
Dauthi Warlord	道西军阀
Dawn Charm	黎明护符
Dawn Elemental	黎明元素
Dawn Gryff	破晓骏鹭
Dawn of the Dead	亡者之晓
Dawn to Dusk	晨昏交替
Dawn's Reflection	曙光映耀
Dawnbreak Reclaimer	破晓返生使
Dawnbringer Charioteers	送晓御夫
Dawnfeather Eagle	曙羽雄鹰
Dawnfluke	黎明鲽鱼精
Dawnglare Invoker	晨炫召现师
Dawnglow Infusion	晨华灌输
Dawning Purist	黎明净化师
Dawnray Archer	晨辉箭手
Dawnstrider	黎明步者
Dawnstrike Paladin	晨击神圣武士
Dawntreader Elk	晨行麋鹿
Daxos of Meletis	迈勒提斯的达克索斯
Daxos the Returned	转世者达克索斯
Daxos's Torment	达克索斯的苦痛
Day (Night/Day)	黑夜
Day of Destiny	命运之日
Day of Judgment	审判末日
Day of the Dragons	诸龙时光
Day's Undoing	重启一日
Daybreak Coronet	破晓冠冕
Daybreak Ranger	破晓护林人
Daze	目眩
Dazzling Beauty	美人眩目
Dazzling Ramparts	眩目壁垒
Dazzling Reflection	炫亮反射
Dead (Dead/Gone)	去死 (走开/去死)
Dead Drop	投落处死
Dead Reckoning	亡者报复
Dead Reveler	死亡狂欢人
Dead Ringers	相弒
Dead Weight	重负
Dead-Iron Sledge	夺命铁锤
Deadapult	投尸器
Deadbridge Chant	亡桥吟颂
Deadbridge Goliath	亡桥巨甲虫
Deadbridge Shaman	亡桥祭师
Deadeye Harpooner	神准鱼叉手
Deadeye Navigator	神准导灵
Deadeye Plunderers	必达舰队劫掠者
Deadeye Quartermaster	必达舰队军需官
Deadeye Tormentor	必达舰队拷问人
Deadeye Tracker	必达舰队追迹人
Deadfall	陷孔
Deadlock Trap	死锁陷阱
Deadly Allure	致命诱引
Deadly Designs	夺命筹划
Deadly Grub	致命幼虫
Deadly Insect	致命昆虫
Deadly Recluse	致命隐士
Deadly Tempest	致命暴风
Deadly Wanderings	致命漂泊
Deadshot	百步穿杨
Deadshot Minotaur	神射牛头怪
Deadwood Treefolk	亡林树妖
Deal Broker	交易掮客
Dearly Departed	挚爱逝者
Death (Life/Death)	死亡
Death Baron	死亡爵主
Death Bomb	死亡炸弹
Death Charmer	死亡魅怪
Death Cloud	致命云群
Death Cultist	死亡教众
Death Denied	入土难安
Death Frenzy	死亡狂热
Death Grasp	死亡之攫
Death Match	生死决斗
Death Mutation	死亡异变
Death Pit Offering	致命妖瞳
Death Pits of Rath	瑞斯死渊
Death Pulse	死亡脉动
Death Rattle	夺命撼响
Death Spark	死亡火花
Death Speakers	亡灵祷士
Death Stroke	死亡一击
Death Ward	回生术
Death Watch	死之监视
Death Wind	死亡之风
Death Wish	致命祈愿
Death by Dragons	群龙致死
Death of a Thousand Stings	千针夺命
Death or Glory	成雄败寇
Death's Approach	死亡将至
Death's Caress	死亡抚触
Death's Duet	死亡的合唱
Death's Presence	亡者存形
Death's Shadow	死亡阴影
Death's-Head Buzzard	骷髅头兀鹰
Death-Hood Cobra	亡者头套眼镜蛇
Death-Mask Duplicant	亡颜窃形兽
Deathbellow Raider	亡啸谷突击兵
Deathbringer Liege	夺命王侯
Deathbringer Regent	夺命龙侯
Deathbringer Thoctar	夺命索塔兽
Deathcap Cultivator	毒帽蕈栽客
Deathcoil Wurm	死卷亚龙
Deathcult Rogue	杀生宗浪客
Deathcurse Ogre	死咒食人魔
Deathforge Shaman	锻亡祭师
Deathgaze Cockatrice	致命石化鸡蛇
Deathgazer	致命妖瞳
Deathgorge Scavenger	噬尸食腐龙
Deathgreeter	祝亡士
Deathgrip	死亡手印
Deathknell Kami	凶讯神
Deathlace	死亡纹饰
Deathless Ancient	不亡先祖
Deathless Angel	不亡天使
Deathless Behemoth	不亡贝西摩斯
Deathmark	死印
Deathmark Prelate	死印高僧
Deathmask Nezumi	鼠人亡面师
Deathmist Raptor	亡雾迅猛龙
Deathpact Angel	亡约天使
Deathreap Ritual	掠亡仪式
Deathrender	归魂剑
Deathrite Shaman	丧仪祭师
Deathspore Thallid	死孢散绿菌
Debilitating Injury	虚弱创伤
Debt of Loyalty	偿诸忠贞
Debt to the Deathless	不亡者债务
Debtor's Pulpit	债务人讲道坛
Debtors' Knell	负债者丧钟
Decaying Soil	衰败泥壤
Deceiver Exarch	欺瞒督教
Deceiver of Form	型态欺瞒体
Deception	诡计
Decimate	摧残
Decimator Beetle	摧残甲虫
Decimator Web	摧残罗网
Decimator of the Provinces	屠省野猪
Decision Paralysis	难以抉择
Declaration in Stone	铸石以告
Declaration of Naught	无用宣言
Decoction Module	炼煮模块
Decommission	除役
Decompose	解体
Decomposition	腐败
Deconstruct	解构
Decorated Griffin	功勋狮鹫
Decree of Annihilation	灭绝的宣判
Decree of Justice	正义的宣判
Decree of Pain	苦痛的宣判
Decree of Savagery	蛮勇的宣判
Decree of Silence	寂静的宣判
Dedicated Martyr	献身的殉道者
Deem Worthy	豪英裁定
Deep Analysis	深入分析
Deep Reconnaissance	深入勘查
Deep Spawn	深渊魔裔
Deep Water	深海
Deep Wood	密林深处
Deep-Sea Kraken	深海巨怪
Deep-Sea Serpent	深海巨蛇
Deep-Sea Terror	深海惧蛇
Deep-Slumber Titan	沉眠泰坦
Deepcavern Imp	深窟小恶魔
Deepchannel Mentor	通渠明师
Deepfathom Skulker	深湛匿体
Deepfire Elemental	深焰元素
Deepglow Skate	渊光鳐
Deeproot Champion	繁根林斗士
Deeproot Warrior	繁根林战士
Deeproot Waters	繁根林水域
Deeptread Merrow	深行美洛
Deepwater Hypnotist	深海催眠师
Deepwood Drummer	深邃林鼓手
Deepwood Elder	深邃林长者
Deepwood Ghoul	深邃林食尸鬼
Deepwood Legate	深邃林特使
Deepwood Tantiv	深邃林巨麋兽
Deepwood Wolverine	深邃林狼獾
Defang	拔除尖牙
Defeat	击败
Defend the Hearth	捍卫家园
Defender en-Vec	维克族捍卫者
Defender of Chaos	混沌捍卫者
Defender of Law	律法捍卫者
Defender of the Order	教团捍卫者
Defense Grid	阻御网
Defense of the Heart	心防
Defensive Formation	防御阵形
Defensive Maneuvers	防御计略
Defensive Stance	防御姿势
Defiant Bloodlord	无畏血领
Defiant Elf	不屈的地精
Defiant Falcon	无畏猎鹰
Defiant Greatmaw	无畏巨河马
Defiant Khenra	无畏胡狼人
Defiant Ogre	无畏食人魔
Defiant Salvager	无畏回收师
Defiant Stand	抗命奋起
Defiant Strike	无畏挥击
Defiant Vanguard	无畏前锋
Defiler of Souls	灵魂污者
Defiling Tears	亵渎之泪
Deflecting Palm	馈击掌
Deflection	偏折
Deft Dismissal	快速打发
Deft Duelist	灵巧斗客
Deftblade Elite	菁英慧剑手
Defy Death	拒斥死亡
Defy Gravity	反抗重力
Dega Disciple	狄迦信徒
Dega Sanctuary	狄迦圣域
Degavolver	狄迦进化体
Deglamer	消幻法
Dehydration	脱水
Deicide	弑神
Deity of Scars	疤痕鬼神
Delay	拖延
Delaying Shield	延迟甲盾
Delif's Cone	德利夫的角锥
Delif's Cube	德利夫的方块
Delirium	错乱
Delirium Skeins	错乱术缕
Deliver (Stand/Deliver)	忍受
Delraich	迪锐奇
Deluge	洪水泛滥
Delusions of Mediocrity	庸人谬想
Delver of Secrets	掘密师
Demand (Supply/Demand)	需求 (需求/供给)
Dematerialize	去物质化
Dementia Bat	痴呆蝙蝠
Dementia Sliver	痴呆裂片妖
Demigod of Revenge	复仇半神
Demolish	毁坏
Demolition Stomper	毁坏跺地械
Demon	恶魔
Demon of Dark Schemes	暗谋恶魔
Demon of Death's Gate	死门恶魔
Demon of Wailing Agonies	悲嚎恶魔
Demon's Grasp	恶魔之攫
Demon's Herald	恶魔传令
Demon's Horn	恶魔犄角
Demon's Jester	恶魔小丑
Demon-Possessed Witch	着魔巫婆
Demonfire	恶魔焰
Demonic Appetite	恶魔胃口
Demonic Attorney	恶魔律师
Demonic Collusion	与魔共谋
Demonic Consultation	恶魔协商
Demonic Dread	恶魔颤栗
Demonic Hordes	恶魔群落
Demonic Pact	恶魔契约
Demonic Rising	恶魔奔扬
Demonic Taskmaster	恶魔工头
Demonic Torment	恶魔的拷问
Demonic Tutor	邪魔导师
Demonlord of Ashmouth	烬口恶魔领主
Demonmail Hauberk	恶魔锁子甲
Demonspine Whip	魔脊鞭
Demoralize	斗志消沈
Demystify	揭秘
Den Protector	家园卫护人
Denizen of the Deep	深海潜兽
Dense Canopy	浓密林冠
Dense Foliage	浓密叶网
Deny Existence	否认存在
Deny Reality	否认现实
Denying Wind	拒否之风
Depala, Pilot Exemplar	驾手模范德珀拉
Deploy the Gatewatch	守护者登场
Deploy to the Front	整装上阵
Deprive	剥夺
Depths of Desire	欲望深渊
Deputized Protester	失权抗命者
Deputy of Acquittals	开释代行官
Deranged Assistant	狂乱助手
Deranged Hermit	狂乱隐者
Deranged Outcast	狂乱遭逐人
Deranged Whelp	狂乱幼狼
Derelor	流放之徒
Derevi, Empyrial Tactician	穹光战术家德瑞维
Dermoplasm	原质变形兽
Descend upon the Sinful	天降惩恶
Descendant of Kiyomaro	清麻吕后裔
Descendant of Masumaro	增麻吕后裔
Descendant of Soramaro	空麻吕后裔
Descendants' Path	后代之路
Descent into Madness	陷落狂境
Descent of the Dragons	龙群降临
Desecrated Earth	受渎土地
Desecration Demon	渎圣恶魔
Desecration Elemental	渎圣元素
Desecration Plague	渎圣灾难
Desecrator Hag	渎圣巫婆
Desert	沙漠
Desert Cerodon	沙漠角牙兽
Desert Drake	沙漠龙兽
Desert Nomads	沙漠牧民
Desert Sandstorm	沙漠风暴
Desert Twister	沙漠龙卷风
Desert of the Fervent	狂热神荒漠
Desert of the Glorified	荣光神荒漠
Desert of the Indomitable	无畏神荒漠
Desert of the Mindful	心智神荒漠
Desert of the True	真信神荒漠
Desert's Hold	沙漠之攫
Deserted Temple	荒芜寺院
Deserter's Quarters	逃兵囚营
Desertion	离弃
Desolate Lighthouse	荒芜灯塔
Desolation	荒芜
Desolation Angel	荒芜天使
Desolation Giant	荒芜巨人
Desolation Twin	荒芜双身
Despair (Driven/Despair)	绝望 (陷入/绝望)
Desperate Castaways	危急落难人
Desperate Charge	冲锋陷阵
Desperate Gambit	孤注一掷
Desperate Ravings	情急胡言
Desperate Research	邪恶探究
Desperate Ritual	急迫祭礼
Desperate Sentry	绝望哨兵
Desperate Stand	奋绝抵抗
Despise	鄙视
Despoil	掠取
Despoiler of Souls	掠灵怪
Despondency	颓丧
Despotic Scepter	独裁权杖
Destined // Lead	恩眷//引领
Destroy the Evidence	毁灭证据
Destructive Flow	毁灭洪流
Destructive Force	毁灭性力量
Destructive Revelry	坏灭欢宴
Destructive Tampering	擅动致灾
Destructive Urge	破坏欲
Destructor Dragon	焚破巨龙
Detainment Spell	拘留咒
Detention Sphere	扣留法球
Determined (Bound/Determined)	命定 (命定/受縛)
Detonate	爆炸
Detritivore	噬岩兽
Deus of Calamity	苦难神明
Devastate	蹂躏
Devastating Dreams	蹂躏之梦
Devastating Summons	毁灭性召唤
Devastation	寂灭
Devastation Tide	寂灭浪潮
Development (Research/Development)	开发 (开发/研究)
Deviant Glee	越轨之喜
Devil's Play	魔鬼造孽
Devils' Playground	魔鬼乐土
Devilthorn Fox	魔荆狐
Devoted Caretaker	专注的护持师
Devoted Crop-Mate	虔诚群伴
Devoted Druid	虔诚德鲁伊
Devoted Hero	忠实英雄
Devoted Retainer	忠实家臣
Devotee of Strength	蛮力信徒
Devour Flesh	吞噬肉身
Devour in Flames	火焰吞噬
Devour in Shadow	黯影吞噬
Devouring Deep	噬啜潜兽
Devouring Greed	贪欲吞噬
Devouring Light	明光吞噬
Devouring Rage	怒意吞噬
Devouring Strossus	饕餮噬啜兽
Devouring Swarm	吞噬虫群
Devout Chaplain	虔诚教士
Devout Harpist	潜心的竖琴师
Devout Invocation	虔诚祝愿
Devout Lightcaster	虔诚圣光僧
Devout Monk	虔诚僧侣
Devout Witness	虔诚的见证人
Dewdrop Spy	露珠探子
Dhund Operative	敦德会特务
Diabolic Edict	恶魔的勒令
Diabolic Intent	恶魔意图
Diabolic Machine	魔鬼机械
Diabolic Revelation	恶魔启示
Diabolic Servitude	严酷苦役
Diabolic Tutor	恶魔导师
Diabolic Vision	恶魔预视
Diamond Faerie	晶钻仙灵
Diamond Kaleidoscope	钻石万花筒
Diamond Valley	钻石谷
Diaochan, Artful Beauty	乱世红颜貂蝉
Dichotomancy	二分奇术
Dictate of Erebos	厄睿柏斯的旨意
Dictate of Heliod	赫利欧德的旨意
Dictate of Karametra	卡拉美特拉的旨意
Dictate of Kruphix	克罗芬斯的旨意
Dictate of the Twin Gods	双子神的旨意
Didgeridoo	迪吉里杜管
Die Young	英年早逝
Diffusion Sliver	弥散裂片妖
Dig Through Time	历时挖掘
Diligent Farmhand	勤勉庄稼汉
Diluvian Primordial	洪水原祖
Dimensional Breach	次元裂罅
Dimensional Infiltrator	次元渗透体
Diminish	缩小
Diminishing Returns	报酬递减
Dimir Aqueduct	底密尔下水道
Dimir Charm	底密尔护符
Dimir Cluestone	底密尔示石
Dimir Cutpurse	底密尔扒手
Dimir Doppelganger	底密尔化妖
Dimir Guildgate	底密尔公会门
Dimir Guildmage	底密尔公会法师
Dimir House Guard	底密尔会堂守卫
Dimir Infiltrator	底密尔渗透者
Dimir Keyrune	底密尔符镇兵
Dimir Machinations	底密尔图谋
Dimir Signet	底密尔印记
Din of the Fireherd	炎骏喧闹
Dingus Egg	爆地蛋
Dingus Staff	精巧之杖
Dinosaur Stampede	恐龙狂奔
Dinrova Horror	汀洛瓦惊惧兽
Diplomacy of the Wastes	荒漠式外交
Diplomatic Escort	外交官护卫
Diplomatic Immunity	外交豁免权
Dire Fleet Captain	焦炬舰队船长
Dire Fleet Hoarder	焦炬舰队匿宝客
Dire Fleet Interloper	焦炬舰队径闯客
Dire Fleet Ravager	焦炬舰队劫夺客
Dire Undercurrents	湍急暗流
Dire Wolves	凶暴狼
Diregraf Captain	战墓队长
Diregraf Colossus	战墓巨像
Diregraf Escort	战墓卫士
Diregraf Ghoul	战墓食尸鬼
Dirge of Dread	慑魂挽歌
Dirgur Nemesis	敦古宿敌
Dirtcowl Wurm	覆尘亚龙
Dirtwater Wraith	污水鬼魂
Dirty (Down/Dirty)	肮脏 (堕落/肮脏)
Dirty Wererat	脏鼠人
Disallow	不予承认
Disappear	消声匿迹
Disappearing Act	消失把戏
Disarm	解除武装
Disaster Radius	灾祸范围
Disciple of Bolas	波拉斯信徒
Disciple of Deceit	诡诈信徒
Disciple of Grace	美善信徒
Disciple of Griselbrand	棘泽边信徒
Disciple of Kangee	坎鴶的门徒
Disciple of Law	律法信徒
Disciple of Malice	恶意信徒
Disciple of Phenax	斐纳克的信徒
Disciple of Tevesh Szat	泰维司剎特的信徒
Disciple of the Old Ways	古式信徒
Disciple of the Ring	环塔门徒
Disciple of the Vault	黯窖门徒
Discombobulate	乱其方寸
Discordant Dirge	走调挽歌
Discordant Spirit	走调精灵
Disdainful Stroke	倨傲击
Disease Carriers	疾病带原体
Diseased Vermin	带原病媒
Disembowel	开膛剖腹
Disempower	消除魔力
Disenchant	消除魔障
Disentomb	扰坟
Disfigure	毁容
Disharmony	走调
Disintegrate	分解
Dismal Backwater	阴沉死水
Dismal Failure	沮丧挫败
Dismantle	解体
Dismantling Blow	击散
Dismember	肢解
Dismiss	退散
Dismiss into Dream	散落入梦
Disorder	失序
Disorient	令其迷惘
Disowned Ancestor	离弃先祖
Dispatch	迅速了结
Dispel	云散
Dispeller's Capsule	驱散者坠盒
Dispense Justice	执行正义
Dispersal Shield	离散护罩
Dispersal Technician	离散技师
Disperse	驱散
Dispersing Orb	扩散球
Displace	移形换位
Displacement Wave	迫离浪潮
Display of Dominance	权力展现
Disposal Mummy	弃伴木乃伊
Dispossess	强取豪夺
Disrupt	散裂
Disrupting Scepter	扰乱权杖
Disrupting Shoal	搅扰群列
Disruption Aura	散裂灵气
Disruptive Pitmage	搅扰死斗法师
Disruptive Student	捣蛋学生
Dissension in the Ranks	军伍内讧
Dissenter's Deliverance	逆徒得救
Dissipate	云消雾散
Dissipation Field	消散力场
Dissolve	消融
Distant Melody	遥远旋律
Distant Memories	遥远回忆
Distemper of the Blood	鲜血乱心
Distended Mindbender	曲智臃体
Distorting Lens	扭曲眼镜
Distorting Wake	扭曲航迹
Distortion Strike	曲身进击
Distress	苦痛
Disturbed Burial	烦扰墓地
Disturbing Plot	搅扰阴谋
Dive Bomber	俯冲爆击手
Dive Down	深潜
Divebomber Griffin	急降狮鹫
Divergent Growth	趋异生长
Divergent Transformations	趋异转化
Diversionary Tactics	声东击西
Divert	转向
Divination	卜卦
Divine Congregation	圣洁聚集
Divine Deflection	神圣偏折
Divine Favor	上天眷顾
Divine Intervention	上天干预
Divine Light	明圣光辉
Divine Offering	圣洁的献礼
Divine Presence	明圣示现
Divine Reckoning	神圣报应
Divine Retribution	圣罚
Divine Sacrament	圣礼
Divine Transformation	神圣异变
Divine Verdict	明圣裁定
Diviner Spirit	先知精怪
Diviner's Wand	先知魔杖
